step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
3800,1.0,0.38806234502302517,2.9791229394504626e-07,13.347156524658203,50.05980172190032,24.65728533267975,22.226388931274414,0.4608192443847656,7.406475067138672,203133
4000,1.0,0.3900106269925611,2.936039038559102e-07,12.72643756866455,49.76741680470781,24.320367614428203,21.723133087158203,0.46051025390625,7.746622085571289,202552
4200,1.0,0.3944385405596883,2.904359632793785e-07,12.044407844543457,49.47403892636089,23.98643520143297,21.091337203979492,0.45926666259765625,8.144681930541992,201844
4400,1.0,0.3990435706695005,2.8479703928496747e-07,11.280815124511719,49.16690931529714,23.6239788002438,20.293825149536133,0.4571037292480469,8.628938674926758,201002
4600,1.0,0.406128232376904,2.7671882207869203e-07,10.436064720153809,48.89784285462157,23.218284527460735,19.205238342285156,0.4521903991699219,9.144599914550781,200214
4800,1.0,0.41445270988310307,2.623047237193532e-07,9.51979923248291,48.808453439768066,22.357414735688103,16.950315475463867,0.4388084411621094,10.007209777832031,199499
5000,1.0,0.43358129649309246,2.660428890521871e-07,8.526500701904297,49.154668221120836,20.12729999754164,11.821353912353516,0.4065132141113281,12.472640991210938,198265
5200,1.0,0.4406659582004959,0.004361728671938181,3.7315917015075684,42.89683557234696,20.05837817986806,13.076102256774902,0.4343414306640625,11.994630813598633,197863
5400,1.0,0.48848742472546935,0.0015428862534463406,3.07914400100708,44.30132008473681,19.8751685751809,12.877936363220215,0.45196533203125,14.537525177001953,193268
5600,1.0,0.6158342189160467,0.00017630959337111562,1.9721403121948242,45.79323838058656,19.289427744017708,11.746155738830566,0.4613380432128906,17.136104583740234,190831
5800,1.0,0.8315621679064825,1.850280568760354e-05,0.6770913004875183,45.78174530907069,17.897533986303543,10.403010368347168,0.4683189392089844,18.707576751708984,189512
6000,1.0,0.9672334396032589,2.076986220345134e-06,0.10908114165067673,44.53464501807452,16.08576352066464,9.6722993850708,0.4699440002441406,18.171192169189453,187736
6200,1.0,0.9966347856889833,3.654207887393568e-07,0.007972974330186844,42.34175394568895,14.41972181532118,9.761646270751953,0.46456146240234375,16.12686538696289,185734
6400,1.0,1.0,1.4749889487575274e-07,0.000493940431624651,39.72082312431166,13.149960862265694,10.447888374328613,0.4373321533203125,13.0064697265625,184329
6600,1.0,0.9985830676585193,4.4018182961735874e-05,0.002960045589134097,37.890996091932806,10.746398660871717,10.386835098266602,0.39290618896484375,10.029544830322266,184436
6800,1.0,1.0,0.00027350691379979253,0.001004020101390779,34.45482516775696,10.447288711865744,10.824271202087402,0.3891754150390625,8.871889114379883,181978
7000,1.0,1.0,3.471416130196303e-05,0.0001445007510483265,34.78427292539188,9.858873844146729,11.108780860900879,0.4030189514160156,6.818755149841309,179742
7200,1.0,1.0,4.229540991218528e-06,2.4664312149980105e-05,35.227129236443666,9.39191730817159,11.17967414855957,0.4117622375488281,5.107781410217285,179236
7400,1.0,1.0,6.309564355433395e-07,6.033589215803659e-06,35.33100542611066,9.058651460541618,11.179118156433105,0.4128837585449219,4.359893798828125,177889
7600,1.0,1.0,1.6241983757936396e-07,2.1864000245841453e-06,35.02146960892094,8.788896441459656,10.773030281066895,0.37737274169921875,3.9281787872314453,177341
