task,seed,measure,grokked,grok_step,cross_step,lead_time,cross_frac,sp_conc,sp_future,m0,m_final
parity,0,act_sparsity,1,6200.0,nan,nan,nan,-0.7201572317836329,-0.6878977448796467,0.500457763671875,0.5017684936523438
parity,0,act_kurtosis,1,6200.0,12800.0,-6600.0,2.064516129032258,0.9900706556010228,0.9874911659331531,2.2281999588012695,28.232418823242188
parity,0,gzip_bytes,1,6200.0,5000.0,1200.0,0.8064516129032258,-0.9958182900765739,-0.9948653330574869,8473.0,5694.8
parity,1,weight_l2,1,7400.0,200.0,7200.0,0.02702702702702703,-0.8560802491832257,-0.8388454361747035,9.429051406171544,17.356900724812355
parity,1,w_eff_rank,1,7400.0,10600.0,-3200.0,1.4324324324324325,-0.997460384095387,-0.9964894332883272,14.445976257324219,5.64665424823761
parity,1,act_eff_rank,1,7400.0,9200.0,-1800.0,1.2432432432432432,-0.9985263269385365,-0.9979667861579078,40.79331588745117,13.219793128967286
parity,1,act_sparsity,1,7400.0,nan,nan,nan,-0.515408522574292,-0.3785881133390425,0.5070343017578125,0.49993896484375
parity,1,act_kurtosis,1,7400.0,12200.0,-4800.0,1.6486486486486487,0.9914841143846141,0.9891026689404245,2.4108920097351074,22.509099578857423
parity,1,gzip_bytes,1,7400.0,4800.0,2600.0,0.6486486486486487,-0.9990622076893552,-0.998858416022456,8473.0,6125.0
parity,2,weight_l2,1,16400.0,400.0,16000.0,0.024390243902439025,-0.8111627855583566,-0.7747497054024843,9.40730159217247,20.650416542505972
parity,2,w_eff_rank,1,16400.0,14200.0,2200.0,0.8658536585365854,-0.9912024488612217,-0.9899658317152159,14.438867390155792,11.05574095249176
parity,2,act_eff_rank,1,16400.0,11000.0,5400.0,0.6707317073170732,-0.9954541619244687,-0.9946658511126445,40.373390197753906,26.61806869506836
parity,2,act_sparsity,1,16400.0,nan,nan,nan,0.8209011302768052,0.7846223303936953,0.5045013427734375,0.5050613403320312
parity,2,act_kurtosis,1,16400.0,11000.0,5400.0,0.6707317073170732,0.9956871325032767,0.9943152147448999,2.361509323120117,10.325008583068847
parity,2,gzip_bytes,1,16400.0,3800.0,12600.0,0.23170731707317074,-0.9987390433415969,-0.9995859491902841,8473.0,6575.6
parity,3,weight_l2,1,5200.0,200.0,5000.0,0.038461538461538464,-0.8387140277953348,-0.8112319738331081,9.442132492790838,15.318352238624295
parity,3,w_eff_rank,1,5200.0,9400.0,-4200.0,1.8076923076923077,-0.9714456209638217,-0.9624298849686058,14.516830325126648,3.4350144028663636
parity,3,act_eff_rank,1,5200.0,9200.0,-4000.0,1.7692307692307692,-0.9720501707230107,-0.9636664248265939,40.79671859741211,10.49753303527832
parity,3,act_sparsity,1,5200.0,400.0,4800.0,0.07692307692307693,0.529481750630355,0.43933124298307524,0.5027999877929688,0.512896728515625
parity,3,act_kurtosis,1,5200.0,13400.0,-8200.0,2.576923076923077,0.964244894624174,0.9538050194591386,2.2795324325561523,40.24314193725586
parity,3,gzip_bytes,1,5200.0,5200.0,0.0,1.0,-0.9728758697190383,-0.9647519958482825,8473.0,5652.4
parity,4,weight_l2,1,5600.0,200.0,5400.0,0.03571428571428571,-0.8358202091942178,-0.8033333113915468,9.368625790043492,14.557557308330473
parity,4,w_eff_rank,1,5600.0,9000.0,-3400.0,1.6071428571428572,-0.9652798532186446,-0.9554709060551753,14.538027226924896,2.6264063000679014
parity,4,act_eff_rank,1,5600.0,7600.0,-2000.0,1.3571428571428572,-0.9658345424534737,-0.9560638525779669,40.47455596923828,5.478436470031738
parity,4,act_sparsity,1,5600.0,1800.0,3800.0,0.32142857142857145,-0.1175355368383377,-0.29771932063035483,0.5036392211914062,0.5145965576171875
parity,4,act_kurtosis,1,5600.0,11200.0,-5600.0,2.0,0.9577191977786935,0.9456716845732513,2.261868953704834,33.57188491821289
parity,4,gzip_bytes,1,5600.0,6000.0,-400.0,1.0714285714285714,-0.9658855890169152,-0.9561454383996918,8473.0,5370.0
